cgpa,tenth_percentage,twelfth_percentage,backlogs,projects,internships,certifications,communication_level,aptitude_score,dsa_level,python_level,sql_level,placed
7.06,94.25,66.67,0,1,1,1,8,42.11,1,7,6,0
7.32,81.23,84.15,1,1,0,2,7,80.35,10,8,4,1
7.71,75.48,69.5,0,0,1,3,3,75.96,7,5,2,1
7.91,75.08,73.83,0,4,2,0,7,63.7,2,4,8,1
6.08,62.37,68.64,0,2,1,1,7,56.75,3,7,7,1
5.67,86.83,92.39,1,1,1,4,10,62.24,9,6,4,1
8.48,77.22,71.79,0,2,2,2,3,49.84,9,6,3,1
7.53,76.2,93.33,1,1,0,2,2,63.84,2,3,6,0
6.45,100.0,83.14,1,1,2,4,9,22.33,3,10,1,1
8.75,80.99,79.82,1,0,0,1,1,66.33,9,4,2,0
7.32,70.48,78.69,2,0,0,2,7,66.71,1,5,7,0
8.38,73.74,78.94,1,2,1,2,4,77.68,2,9,3,1
7.27,89.48,55.72,0,2,2,3,2,69.5,2,8,1,0
9.26,79.13,72.21,0,7,0,0,2,79.66,10,3,2,1
8.96,63.62,83.45,0,3,0,1,8,73.21,3,6,10,1
6.95,87.19,74.51,0,3,0,1,7,80.55,10,10,10,1
8.17,71.32,60.95,1,5,1,2,7,100.0,3,1,9,1
7.85,96.73,74.48,1,3,0,0,5,71.3,10,3,7,1
8.57,88.8,92.04,1,1,1,2,10,67.76,2,10,7,1
6.24,73.53,87.47,0,2,1,2,8,82.81,8,7,10,1
7.89,90.81,74.38,1,0,2,1,2,57.98,8,7,8,1
8.26,78.68,84.51,2,2,0,2,2,63.21,8,2,8,0
5.44,86.53,71.33,0,3,0,2,5,71.31,2,3,9,1
6.02,82.85,57.96,1,5,1,1,1,66.09,9,7,2,0
5.16,69.54,65.76,0,2,1,2,6,66.02,7,6,8,1
6.93,71.56,90.63,1,1,0,1,4,78.5,5,7,8,0
7.92,88.3,72.26,0,3,2,2,6,39.56,7,10,5,1
8.7,74.65,72.57,0,0,2,0,7,95.5,8,9,5,1
7.27,73.96,72.0,0,3,1,0,3,72.29,9,8,4,1
8.83,68.45,94.04,0,3,2,0,8,59.0,2,6,5,1
5.82,82.24,91.26,0,5,1,0,7,89.42,6,4,2,1
5.5,98.63,97.19,3,2,1,1,1,66.55,9,10,2,0
7.14,67.32,73.41,3,0,0,3,6,66.95,6,9,5,0
7.58,78.24,77.96,1,1,2,1,7,61.78,2,7,3,0
7.17,92.12,59.83,1,3,1,2,4,87.02,1,5,1,0
5.13,77.2,89.77,3,4,1,0,2,64.86,3,2,9,0
7.11,82.52,63.32,1,4,2,1,10,56.62,5,9,2,1
5.9,67.38,77.17,3,3,0,2,9,79.98,7,7,10,1
7.87,82.28,64.03,0,1,1,0,7,82.74,10,9,2,1
7.57,76.13,69.11,2,0,2,2,1,89.1,10,9,4,1
6.26,87.86,66.63,1,2,1,2,8,74.5,3,10,2,1
6.69,89.87,68.92,1,3,0,0,3,82.19,9,5,7,1
6.14,100.0,69.61,2,2,0,1,4,61.11,10,7,10,1
7.14,83.8,69.52,2,1,0,2,5,80.39,4,5,1,0
8.16,81.26,83.33,3,3,0,3,1,76.14,10,3,2,0
6.21,79.94,63.95,0,1,0,2,6,72.96,2,10,5,0
7.7,74.47,77.21,0,3,0,1,10,41.64,3,8,2,1
6.67,81.38,87.18,0,3,0,0,6,59.18,5,8,9,1
6.41,75.05,69.87,0,4,1,0,2,64.31,3,9,4,0
7.09,79.68,67.82,1,2,2,2,10,72.97,5,6,9,1
6.16,91.18,72.69,0,1,2,1,6,100.0,4,2,1,0
6.65,67.93,86.8,1,3,0,1,8,77.89,10,3,1,1
6.0,89.4,76.94,1,1,2,1,6,52.85,3,10,1,1
9.16,91.17,69.69,2,5,0,1,4,57.8,6,6,4,1
7.24,76.82,79.84,2,2,0,1,4,85.85,8,1,9,0
6.5,56.78,63.98,0,3,1,0,9,57.14,4,2,8,1
7.41,71.92,81.81,1,0,1,3,6,80.28,9,8,7,1
7.09,90.97,79.09,0,1,1,2,8,66.76,6,8,1,1
6.98,77.77,71.92,2,4,0,2,8,62.5,5,6,3,0
7.81,68.01,66.61,3,1,1,1,7,57.36,3,3,9,0
7.96,72.95,66.13,1,5,0,0,3,20.0,5,2,9,0
6.67,86.41,80.35,0,0,1,2,10,73.1,5,6,5,1
6.62,83.47,87.29,2,2,1,2,1,49.22,4,1,6,0
6.92,75.61,68.63,0,4,1,2,5,43.72,6,10,6,1
4.9,74.33,79.58,0,2,1,3,10,68.72,3,6,10,1
5.68,74.08,54.13,2,2,0,3,10,80.44,10,9,4,1
8.57,68.78,69.15,1,2,0,1,2,39.55,1,7,1,0
8.84,94.15,74.69,0,1,1,0,10,80.05,7,9,5,1
6.95,74.78,65.9,3,2,1,0,2,51.45,7,2,1,0
7.78,90.17,65.63,3,1,0,4,7,74.73,4,5,1,0
7.51,93.21,68.32,0,2,2,2,3,73.68,9,9,5,1
10.0,87.98,77.92,1,2,0,2,8,61.9,2,7,5,1
8.32,73.68,73.13,3,0,1,2,9,65.45,1,9,7,1
7.07,82.04,52.62,3,3,1,1,8,59.06,3,6,2,0
6.24,77.76,53.79,1,2,1,0,6,68.95,7,7,6,0
5.59,68.96,68.93,0,0,1,4,5,68.82,9,10,2,1
7.4,81.24,79.58,0,3,2,3,3,51.14,2,5,10,1
6.44,66.21,47.52,0,2,0,4,3,44.63,6,6,5,0
5.78,89.88,70.0,3,4,0,2,7,80.13,3,1,4,0
6.55,73.35,69.74,1,0,0,2,5,68.06,5,1,10,0
6.12,80.01,88.88,1,3,2,1,6,78.05,9,2,5,1
8.89,80.83,71.15,3,2,1,2,6,54.94,3,4,2,0
8.08,75.41,78.83,0,2,1,1,9,52.63,1,9,8,1
7.19,83.87,76.41,0,3,1,4,1,49.82,5,7,8,1
8.68,73.25,53.69,1,2,1,2,8,62.29,1,6,6,1
7.28,86.71,82.68,1,2,1,4,10,68.49,8,1,3,1
6.34,64.54,77.15,0,1,2,1,5,56.84,7,5,4,1
8.72,79.26,80.08,3,0,1,1,6,88.47,2,4,1,0
7.74,97.39,100.0,0,1,0,0,6,55.37,9,5,9,1
6.16,68.0,54.16,0,3,1,0,1,68.73,5,9,10,0
7.01,71.22,92.25,3,1,1,0,3,51.75,7,3,5,0
6.32,83.14,72.13,2,2,0,3,6,54.9,4,4,8,0
5.82,79.8,77.87,3,0,2,2,9,63.7,1,8,3,0
8.13,81.51,74.54,2,0,1,2,6,52.51,8,3,4,0
9.11,82.89,70.76,1,1,1,2,6,66.34,1,3,4,1
5.8,84.35,69.3,0,1,1,0,1,71.6,3,9,8,0
7.76,89.1,78.3,0,4,1,0,9,81.4,6,5,9,1
6.55,82.1,59.83,3,2,1,1,4,48.8,8,10,3,0
6.71,75.59,82.51,0,3,1,1,2,67.52,8,1,7,1
6.61,84.73,70.84,3,0,1,2,1,64.07,2,7,9,0
6.34,97.0,63.7,1,1,1,1,3,37.28,9,7,2,0
7.25,76.67,70.5,0,2,0,1,3,48.07,4,6,4,0
6.37,68.25,87.57,0,2,0,0,5,72.12,4,6,3,0
7.47,89.07,69.65,0,6,0,3,1,44.71,2,3,8,1
7.15,76.8,78.58,0,3,1,2,7,63.9,1,3,4,1
6.96,56.27,67.69,3,2,1,3,1,33.16,10,10,9,1
6.29,86.47,82.58,3,2,1,2,4,63.46,7,9,1,0
6.62,72.65,81.86,0,2,1,1,6,34.2,10,1,1,0
7.96,77.09,93.49,0,2,1,1,1,55.93,3,7,4,0
7.7,81.32,73.24,3,4,0,3,7,58.43,4,10,3,1
6.22,79.9,81.69,0,1,1,3,10,66.85,9,7,3,1
7.3,85.09,75.98,0,2,1,0,7,61.21,6,8,10,1
7.95,73.65,87.96,3,2,1,2,3,46.46,1,6,2,0
5.53,83.13,67.81,0,0,1,2,4,46.74,9,8,10,1
7.74,75.4,82.45,0,2,1,0,6,40.79,9,1,10,1
6.54,85.39,73.05,1,3,2,2,7,68.1,5,1,2,0
7.77,84.15,74.36,2,5,1,3,4,67.44,8,9,8,1
6.44,68.65,75.92,1,1,0,1,10,75.04,7,4,1,0
5.4,88.86,77.52,2,0,2,2,9,57.5,8,3,8,0
5.57,72.64,73.84,3,2,1,3,9,38.98,9,6,10,0
7.25,86.08,77.15,0,2,1,2,9,60.26,2,10,3,1
7.46,81.67,90.78,3,0,2,1,10,65.17,10,9,2,1
6.3,96.38,84.85,0,2,0,1,6,47.53,5,10,9,1
7.84,75.77,83.69,0,6,1,2,2,48.95,8,4,5,1
5.54,74.51,70.44,2,0,2,3,2,71.76,3,9,5,0
7.13,77.81,66.11,1,0,2,1,4,66.51,6,5,6,0
5.99,74.97,84.55,1,3,2,2,9,81.99,6,7,4,1
6.55,86.0,83.76,2,7,0,2,3,90.83,7,3,7,1
7.25,61.84,89.73,1,1,1,2,6,42.46,3,3,7,0
6.34,67.46,68.96,0,1,1,3,2,58.72,8,3,9,0
6.82,67.32,72.7,0,3,1,2,1,66.85,8,8,6,1
8.21,87.5,58.61,0,2,1,2,5,70.45,9,6,1,1
6.62,95.11,71.08,0,1,2,1,8,80.24,8,9,9,1
8.04,76.96,84.97,3,2,1,0,10,75.93,3,9,10,1
6.07,76.31,70.34,3,4,0,0,10,82.08,6,8,9,1
7.73,78.7,81.4,0,2,1,1,2,65.92,9,1,5,0
8.64,89.62,73.09,0,3,1,5,10,55.57,1,6,7,1
4.73,68.73,78.24,1,2,1,3,9,94.25,3,4,1,0
6.4,80.38,63.52,0,4,0,4,8,67.3,2,4,4,1
7.78,87.75,75.85,3,3,1,1,3,61.37,8,3,10,0
7.0,83.01,45.09,2,2,2,1,1,48.92,6,9,4,0
7.57,79.9,73.13,0,1,1,2,4,67.39,10,2,5,1
6.6,88.01,58.7,1,1,1,0,8,80.07,8,1,6,0
7.29,50.97,87.06,0,2,0,1,3,57.49,2,10,4,1
7.04,84.78,82.77,2,2,0,1,10,63.0,6,3,6,0
8.37,71.46,79.67,0,2,1,1,2,68.74,7,4,10,1
7.45,59.69,90.21,0,0,1,1,7,72.08,8,4,7,1
7.54,83.11,65.51,0,0,2,2,4,61.1,9,6,3,1
6.79,91.74,92.47,0,2,2,3,6,59.1,5,1,9,1
6.71,76.63,84.32,3,1,0,0,5,57.34,3,1,8,0
6.77,87.53,72.63,1,4,0,1,2,48.4,2,2,1,0
7.59,94.12,86.36,0,3,0,2,10,53.45,8,4,2,1
6.78,91.15,63.94,3,0,2,1,2,53.04,1,7,2,0
7.49,94.4,66.75,1,4,2,2,9,41.87,10,6,10,1
9.28,85.42,68.91,3,3,0,1,10,79.89,6,9,9,1
8.07,78.75,69.71,0,2,1,3,2,70.39,2,7,9,1
6.87,61.98,64.43,3,1,1,3,8,67.13,3,5,9,0
8.4,75.54,87.23,1,0,0,2,8,84.57,8,6,1,1
6.79,69.57,72.41,2,4,1,0,1,75.77,1,10,7,0
5.16,99.71,78.53,3,1,2,1,1,53.16,6,9,3,0
6.19,76.24,69.3,0,2,1,3,4,82.6,3,1,9,1
5.33,79.23,56.79,0,4,2,1,2,79.58,6,9,8,1
6.85,83.51,77.7,0,3,0,1,1,48.23,3,6,3,0
7.22,78.44,55.88,0,1,0,1,9,78.54,8,4,1,1
8.88,94.95,74.31,0,0,0,2,3,57.99,5,5,9,1
7.53,71.77,61.32,1,1,1,2,1,79.96,4,1,10,0
6.98,79.95,94.87,0,3,2,3,2,59.93,9,7,1,1
8.03,70.58,84.11,1,2,1,1,8,57.0,5,8,3,1
4.99,64.8,76.06,2,0,1,2,5,58.55,4,5,6,0
7.44,71.88,87.64,0,2,0,1,7,50.42,8,2,6,1
7.97,77.63,66.54,1,3,1,2,6,42.79,8,8,10,1
5.72,73.71,80.43,2,1,0,2,1,27.52,8,10,4,0
8.34,71.08,77.0,0,3,2,2,6,49.18,4,7,2,1
7.54,63.94,77.64,0,1,2,0,7,100.0,1,10,10,1
6.78,77.17,87.72,1,4,0,1,4,72.17,2,9,6,1
7.83,62.95,82.32,0,4,0,0,8,92.96,4,4,10,1
9.47,85.6,77.89,0,0,2,1,8,60.23,10,9,5,1
7.38,78.82,58.45,0,0,0,3,7,57.98,2,4,6,1
7.45,63.42,65.4,1,3,2,2,2,90.75,10,3,7,1
6.74,74.91,73.77,2,1,2,1,6,70.64,3,3,9,0
6.35,70.48,75.93,0,1,1,2,6,50.67,9,10,7,1
8.03,81.19,63.7,1,3,1,2,7,74.49,9,2,4,1
6.34,91.4,99.12,0,2,1,2,6,83.76,9,10,10,1
7.27,59.25,90.16,0,0,0,0,2,43.58,7,3,5,0
6.72,79.15,81.02,1,4,1,1,8,71.97,4,8,6,1
7.68,76.4,75.72,0,1,0,1,4,44.57,1,8,9,0
7.53,84.71,72.88,2,3,2,1,9,82.95,3,2,5,1
8.24,80.13,65.48,0,2,1,1,8,68.46,8,2,5,1
6.69,70.48,75.77,0,2,1,0,3,74.44,4,2,7,0
6.93,74.81,77.58,1,1,2,0,3,61.74,10,10,2,1
6.22,70.04,62.58,1,1,0,1,8,38.28,10,7,3,0
6.76,88.76,78.34,0,2,0,1,2,58.38,2,6,2,1
7.58,78.21,73.45,3,1,1,0,9,78.95,8,1,10,1
7.96,97.01,55.92,1,1,0,3,4,94.9,7,2,10,1
6.28,77.39,66.4,0,0,1,2,6,69.23,10,1,2,0
8.07,70.92,70.86,1,1,1,2,3,54.7,9,7,3,1
8.56,62.86,93.88,0,3,2,1,3,73.04,2,6,6,1
7.61,59.97,80.57,0,3,1,0,3,77.6,5,2,5,1
9.08,62.16,61.65,0,2,0,2,10,66.99,6,2,5,1
6.43,80.67,79.86,1,0,0,0,2,66.07,2,2,2,0
5.96,83.09,59.53,1,2,0,1,8,68.2,2,8,2,0
5.42,62.19,85.83,1,4,1,1,9,65.65,10,7,1,1
8.7,86.95,70.29,0,3,2,2,8,69.47,4,1,3,1
7.85,73.17,74.06,0,0,1,1,10,92.41,8,4,7,1
7.14,79.47,88.26,0,1,0,0,3,34.5,5,4,5,0
7.48,94.12,62.13,2,3,1,2,7,61.42,9,7,7,1
6.07,86.97,61.03,0,2,2,0,10,51.01,4,2,9,0
9.65,75.31,69.16,1,1,1,2,2,82.71,3,4,6,0
7.33,69.09,85.38,3,3,1,2,4,62.89,10,1,2,0
7.31,56.48,59.81,1,2,0,0,6,73.4,8,4,1,0
7.93,70.81,46.68,0,1,1,2,5,86.41,1,1,1,0
7.68,75.89,70.49,0,2,0,1,9,48.78,9,2,10,1
7.42,68.13,80.52,1,1,2,1,10,57.09,4,2,9,1
6.41,76.69,87.0,3,2,0,0,4,84.86,9,10,6,0
7.67,78.77,70.37,0,0,1,4,5,48.18,8,3,6,1
9.08,75.75,70.89,1,3,1,2,4,57.59,3,8,4,1
8.55,71.5,86.54,0,3,0,3,8,40.99,3,6,2,1
8.79,79.69,56.3,1,1,1,2,8,85.45,9,6,10,1
6.69,82.42,71.11,3,2,0,3,3,56.28,3,9,3,0
6.21,67.1,76.9,0,2,0,2,1,70.27,4,8,3,0
7.07,92.11,79.49,3,0,1,0,6,75.14,9,2,8,1
7.26,77.01,69.9,1,4,1,2,2,52.95,4,6,6,1
8.29,78.19,75.34,1,1,2,1,2,36.44,3,1,7,0
5.51,85.08,50.12,3,4,0,1,3,61.71,7,9,9,0
8.73,80.33,68.42,0,3,2,3,8,61.46,6,4,1,1
7.04,87.53,79.54,0,4,2,0,3,64.09,1,4,2,0
6.77,80.87,65.18,1,1,2,3,7,64.18,10,9,9,1
6.19,71.88,75.59,0,1,1,2,10,57.52,8,3,5,1
5.55,81.62,79.47,0,2,2,1,10,56.94,1,5,4,0
8.02,66.56,71.57,0,0,0,2,9,69.47,4,1,1,0
7.27,79.09,76.7,0,1,1,2,8,52.64,6,6,9,1
5.91,77.67,65.37,2,4,1,2,1,63.57,6,3,9,0
5.9,75.92,72.93,1,1,2,0,7,56.56,7,1,4,0
6.86,76.71,81.1,0,1,1,1,7,69.43,5,10,9,1
8.87,59.18,76.57,0,5,0,0,8,81.63,5,6,10,1
6.94,72.51,69.13,1,3,0,1,10,82.24,4,10,1,1
5.7,78.93,77.24,0,4,1,3,5,84.34,6,2,5,1
6.95,79.6,82.15,0,4,0,1,10,59.99,7,8,1,1
6.93,67.72,54.5,0,2,1,3,9,61.25,10,2,4,1
4.5,90.66,86.59,0,2,1,0,9,45.97,10,4,5,1
7.15,69.34,71.64,0,2,1,1,8,59.86,1,3,3,1
6.97,87.69,79.25,0,2,0,1,6,60.4,9,9,2,1
7.9,82.27,86.97,1,3,0,4,6,55.74,8,2,6,1
9.05,71.54,61.28,0,1,2,4,1,55.67,7,3,3,1
8.33,95.75,67.91,1,4,1,1,6,39.53,9,7,10,1
6.93,66.06,72.11,0,2,1,1,4,44.87,3,4,1,0
6.09,87.19,67.16,3,3,0,3,4,65.67,10,6,5,1
9.77,88.01,92.35,0,2,0,1,2,66.23,4,3,2,0
7.26,71.29,66.43,0,2,0,1,4,72.25,7,1,2,0
7.21,91.92,69.44,0,1,1,2,5,61.12,6,6,4,1
7.18,75.5,77.04,3,1,2,1,5,65.17,2,4,4,0
7.4,80.89,62.98,0,1,0,2,5,83.76,2,2,4,0
7.06,80.6,71.04,0,4,0,0,4,64.21,10,7,7,1
6.63,76.66,78.17,1,1,1,1,1,55.52,7,10,1,0
6.65,86.11,71.67,1,2,1,1,10,47.14,9,5,8,1
7.17,85.93,74.07,1,1,1,0,8,76.96,9,6,10,1
6.66,60.51,69.71,2,2,0,1,3,39.45,7,6,9,0
6.49,91.04,59.86,3,3,0,1,2,52.42,8,9,10,0
7.31,61.38,78.22,2,2,0,0,9,71.28,10,2,6,0
6.95,88.33,92.55,2,2,1,3,7,36.4,3,6,4,0
8.7,89.27,75.18,1,0,1,2,9,55.78,1,9,6,1
4.55,67.09,77.25,1,0,0,2,2,66.94,7,4,10,0
8.29,73.89,81.93,2,0,2,2,9,59.25,8,6,7,1
8.45,66.94,62.31,2,3,1,1,10,50.26,2,7,6,1
5.13,75.85,92.03,0,3,1,2,9,56.1,9,1,1,0
6.86,74.92,77.02,0,2,1,2,9,77.25,4,5,5,1
6.83,85.8,91.32,0,0,0,3,10,92.47,10,4,8,1
5.79,91.1,67.67,0,3,0,1,10,67.09,9,10,8,1
6.42,91.96,93.18,2,1,2,3,4,35.18,3,2,10,0
6.09,72.38,82.75,0,1,0,1,10,73.52,8,2,9,0
8.95,75.91,80.53,1,2,1,2,3,59.05,2,2,4,0
8.14,61.17,77.34,3,3,0,1,6,48.57,3,7,10,0
8.47,69.94,72.51,1,2,2,0,3,53.0,1,4,6,0
7.92,87.65,87.01,2,2,1,2,9,53.63,5,6,7,1
6.07,94.16,76.4,1,3,0,2,3,43.84,4,7,5,0
6.68,65.66,55.33,3,6,1,0,2,64.05,1,9,8,0
7.69,72.08,63.83,0,2,1,3,8,92.42,10,2,3,1
5.98,77.74,73.14,2,0,1,0,6,48.51,9,10,8,1
7.91,80.8,78.1,0,3,1,0,8,91.96,6,9,5,1
6.96,69.9,74.43,0,0,0,2,7,68.12,6,5,1,0
6.83,82.24,87.19,0,1,2,4,3,63.61,2,6,6,1
7.91,73.26,55.49,2,0,1,1,8,60.17,7,6,2,0
7.64,77.86,76.44,3,5,0,3,10,52.91,9,3,7,1
6.84,83.46,56.82,0,0,1,3,1,69.38,6,10,9,1
8.36,78.06,82.6,0,7,1,2,1,72.83,8,7,3,1
6.12,73.64,74.06,0,2,0,1,10,28.62,5,7,10,1
7.82,76.9,79.2,1,4,0,3,8,100.0,2,8,4,1
7.79,77.12,66.36,1,4,0,4,9,37.84,4,5,4,1
6.89,74.3,87.79,3,1,1,2,10,57.17,1,2,4,0
7.53,75.41,85.42,0,2,1,2,6,26.63,1,3,3,0
5.95,93.99,80.84,1,1,2,3,5,60.98,6,9,5,1
8.12,83.61,73.7,1,2,0,0,2,58.08,2,6,9,0
7.02,75.05,80.8,1,0,0,1,9,57.32,6,8,8,1
6.68,84.97,67.93,0,3,2,1,6,69.57,1,8,10,1
8.25,74.66,83.56,0,2,2,1,8,61.34,10,5,2,1
6.5,89.73,91.49,0,2,2,2,9,73.08,3,1,9,1
5.79,81.7,85.71,2,3,0,4,9,46.44,9,6,10,1
5.64,76.93,67.7,1,0,1,2,8,66.16,2,7,2,0
7.81,82.48,78.61,2,2,0,2,10,55.52,8,9,7,1
5.92,62.29,62.07,0,0,1,0,8,59.44,6,2,5,1
8.95,66.73,80.72,1,0,0,4,3,69.06,6,2,7,1
5.12,66.06,79.51,0,4,1,2,3,57.44,7,10,5,1
8.9,79.43,56.3,1,1,1,1,2,63.42,5,1,6,0
7.41,95.33,63.38,0,2,0,0,1,47.69,4,5,8,0
7.1,100.0,72.17,1,0,1,2,4,81.43,6,2,1,0
6.66,84.38,71.99,2,0,1,4,2,75.93,8,3,1,0
7.6,83.01,62.91,2,4,1,0,2,66.5,4,2,5,0
7.16,59.99,78.89,0,0,1,0,5,61.36,5,4,1,0
8.3,72.57,77.51,1,2,0,2,4,63.43,7,3,3,0
7.31,70.12,73.06,0,1,0,0,1,81.11,6,9,10,0
7.35,71.79,67.44,1,2,0,1,9,74.86,4,10,9,1
6.84,76.32,85.49,1,2,0,2,4,81.36,4,2,7,0
7.14,73.28,91.55,1,2,2,1,5,59.87,10,7,6,1
7.51,58.21,70.16,0,2,1,1,7,72.25,4,3,8,1
5.49,85.48,68.88,0,2,2,0,2,82.83,1,10,8,0
5.85,67.27,79.91,0,1,1,0,8,51.11,5,8,6,0
7.94,80.39,71.42,3,1,0,0,2,50.16,8,4,4,0
7.37,98.74,73.61,3,1,0,0,10,69.13,7,4,4,0
7.02,68.81,82.4,1,5,1,2,5,46.48,5,9,4,1
7.22,52.7,55.91,3,3,0,5,2,37.76,3,3,6,0
7.55,75.14,88.18,0,2,0,2,2,82.62,1,7,1,0
6.66,89.01,75.73,2,1,0,1,4,85.23,7,1,2,0
6.42,97.58,70.89,1,3,2,4,4,47.3,3,7,6,1
7.4,65.7,74.11,0,0,2,0,8,43.52,4,10,1,1
6.22,82.97,74.62,1,2,2,1,6,55.2,5,2,9,1
7.61,73.35,57.69,1,1,1,0,10,83.79,8,6,6,1
5.5,76.94,89.95,0,3,0,2,8,58.84,7,9,7,1
8.23,100.0,75.41,2,1,2,0,7,66.42,9,6,1,0
7.67,62.97,79.43,0,0,2,0,10,69.87,3,3,8,1
7.46,80.54,84.52,3,2,0,4,4,67.61,10,1,5,0
8.18,82.68,64.79,1,3,0,3,2,87.41,1,4,5,1
8.87,88.86,79.73,0,1,2,2,9,54.2,1,4,6,1
8.21,78.98,72.32,1,2,0,3,2,63.47,10,8,7,1
5.36,81.08,83.47,2,1,2,1,1,68.49,1,10,7,0
5.92,74.08,53.73,0,3,1,1,8,64.27,2,10,5,1
6.58,80.69,74.01,0,2,1,0,10,46.71,2,7,1,0
7.23,74.57,68.97,1,1,2,0,9,42.91,7,10,9,1
7.72,84.22,79.32,1,4,1,1,1,42.6,9,7,6,1
6.47,74.3,79.7,2,0,0,1,7,75.89,8,7,9,1
7.39,81.77,67.92,2,7,1,0,2,52.69,4,2,4,0
6.44,77.71,67.88,1,2,0,1,6,72.04,2,9,2,0
6.59,89.26,73.89,1,4,2,2,5,66.3,3,6,3,1
5.79,77.49,66.03,2,3,0,0,1,50.38,10,2,4,0
6.28,60.27,83.42,0,3,1,2,2,50.75,5,1,10,1
5.85,90.62,71.31,1,6,1,1,2,67.01,9,1,8,1
6.22,68.94,45.93,1,1,0,2,10,66.17,8,1,3,0
8.25,71.46,71.25,0,0,0,1,10,72.38,3,4,8,1
6.25,72.04,64.61,2,3,1,2,6,58.14,9,4,6,0
9.83,91.74,58.69,2,1,0,0,1,52.3,10,9,4,0
7.69,56.64,62.63,1,0,2,1,4,66.65,3,1,7,0
7.38,100.0,76.09,0,0,2,1,10,86.3,10,3,5,1
6.34,88.56,88.29,3,1,1,4,5,36.85,8,3,5,0
7.9,80.23,78.13,0,3,1,1,2,53.01,1,8,9,1
6.62,77.45,68.93,2,5,0,2,2,73.86,4,2,3,0
7.32,80.86,79.56,1,1,1,1,7,68.25,4,6,10,0
9.76,83.21,70.41,0,4,2,1,7,74.08,6,4,4,1
7.1,84.45,68.05,1,3,1,1,6,58.56,2,10,5,1
8.35,83.56,63.46,0,2,0,3,1,40.82,7,6,1,0
6.5,78.9,57.48,1,2,0,1,3,90.07,5,5,7,0
7.17,76.03,71.1,3,1,0,1,9,81.26,10,9,8,1
8.97,76.49,76.58,0,3,2,0,10,64.64,6,9,6,1
6.57,76.05,74.03,1,3,1,1,1,52.38,6,1,9,0
9.01,89.34,70.84,0,6,0,1,2,57.64,6,3,3,1
7.91,83.94,65.54,3,2,1,2,8,68.44,10,1,2,0
6.64,48.6,81.08,0,2,1,2,7,61.23,8,6,5,1
7.83,84.56,61.83,0,2,1,1,9,64.78,10,3,9,1
8.17,79.95,82.76,1,2,2,3,10,89.15,4,1,1,1
7.82,77.81,64.98,3,3,1,0,4,78.86,10,6,1,1
5.63,74.11,67.48,1,3,0,0,4,47.44,8,5,10,0
6.47,89.24,60.33,1,2,0,1,7,66.15,9,8,3,1
6.95,87.48,69.99,0,3,2,3,1,57.19,4,2,10,1
7.13,70.27,84.75,3,2,1,1,10,69.47,1,8,3,0
7.82,82.07,80.16,0,1,0,4,9,64.05,3,5,5,1
7.38,68.28,84.78,1,1,0,0,2,100.0,1,8,4,0
5.86,64.2,80.22,2,2,0,1,1,71.44,7,10,6,0
7.58,71.73,63.96,0,1,0,2,7,62.99,1,4,8,1
7.81,86.62,71.69,0,3,0,0,6,92.65,4,4,8,1
7.76,87.53,67.2,1,3,2,0,3,68.08,1,10,4,0
8.28,83.13,88.31,1,1,1,0,1,42.22,2,4,1,0
8.03,85.25,63.03,0,4,0,0,5,63.13,1,6,7,0
7.66,83.16,83.94,0,4,1,0,10,74.21,5,4,6,1
7.13,71.59,83.93,2,2,1,1,4,72.27,7,9,5,1
5.54,82.32,93.3,0,2,0,2,5,80.08,3,9,4,0
7.63,86.0,70.9,1,5,1,3,1,67.31,8,3,6,1
7.41,85.54,82.12,0,2,0,3,1,66.25,5,7,8,1
7.47,89.89,97.82,3,5,0,3,5,43.96,5,5,6,1
5.92,85.08,68.82,2,3,1,2,6,87.93,5,9,3,1
6.12,81.51,59.65,3,3,2,1,5,60.42,8,2,9,0
8.25,88.7,56.2,2,1,1,2,2,50.31,2,3,3,0
7.16,77.73,82.13,0,3,2,1,9,100.0,2,10,4,1
7.88,69.18,56.17,1,0,2,1,5,90.2,8,5,5,0
7.23,76.37,71.28,2,3,2,1,5,58.28,9,5,2,1
7.23,70.55,79.37,1,1,2,2,10,36.79,10,10,10,1
8.14,71.25,76.85,3,0,0,1,9,54.22,10,7,10,1
6.68,76.55,79.25,2,1,1,0,3,88.69,2,8,2,0
7.3,70.08,77.22,0,5,1,0,5,67.65,4,8,6,1
6.74,74.92,87.79,0,0,2,2,5,44.76,8,1,2,1
6.77,59.06,65.48,0,3,1,0,2,76.76,2,1,10,1
6.89,80.13,68.23,0,1,0,1,4,61.85,4,3,1,0
7.42,78.01,67.27,0,2,0,1,2,55.27,10,1,8,1
6.72,69.83,83.3,0,3,0,2,5,56.41,1,1,10,0
8.46,84.59,84.0,0,4,2,3,10,84.6,2,10,10,1
6.31,87.38,79.51,2,0,0,1,2,73.2,7,8,1,0
7.01,61.92,86.83,3,1,1,1,10,42.71,1,1,10,0
6.76,70.37,63.22,0,4,1,0,9,70.51,1,9,6,1
8.65,70.31,91.67,0,1,0,4,10,66.61,2,2,1,1
7.4,68.6,90.23,1,4,0,0,6,58.69,4,9,8,1
8.23,86.29,82.36,3,5,2,2,8,59.48,7,7,5,1
5.71,76.06,92.82,1,1,1,0,9,52.02,4,9,3,0
